week,Load: Practice,Load: S&C,Load: Competition,100-Sleep
24,0.0,0.0,0.0,46.5
4,0.0,148.0,0.0,25.142857142857142
10,260.0,97.0,0.0,58.833333333333336
24,110.0,14.0,464.0,51.0
4,0.0,0.0,0.0,3.0
29,0.0,80.0,0.0,43.0
24,319.0,15.0,346.0,31.857142857142858
9,244.0,144.0,0.0,46.8
10,228.0,153.0,0.0,12.25
34,279.0,0.0,228.0,22.0
10,0.0,0.0,0.0,38.0
0,0.0,68.0,0.0,32.833333333333336
12,552.0,165.0,207.0,39.57142857142857
2,499.0,0.0,0.0,15.5
44,874.0,0.0,257.0,30.0
15,682.0,56.0,0.0,57.2
14,251.0,199.0,0.0,49.666666666666664
40,0.0,0.0,0.0,48.5
6,0.0,0.0,0.0,8.142857142857142
0,0.0,0.0,0.0,51.0
5,0.0,0.0,0.0,48.333333333333336
17,431.0,117.0,0.0,16.5
5,0.0,0.0,0.0,23.8
28,0.0,6.0,0.0,48.0
21,0.0,29.0,0.0,53.25
3,480.0,10.0,0.0,38.0
23,476.0,30.0,0.0,44.166666666666664
5,0.0,0.0,0.0,21.2
46,0.0,0.0,0.0,10.0
13,606.0,114.0,0.0,47.5
8,507.0,89.0,0.0,50.0
15,600.0,72.0,0.0,24.666666666666668
10,371.0,56.0,0.0,72.25
46,506.0,0.0,721.0,29.0
45,483.0,0.0,205.0,49.0
1,0.0,0.0,0.0,41.0
16,56.0,64.0,327.0,22.0
17,202.0,65.0,0.0,51.333333333333336
39,0.0,0.0,0.0,42.666666666666664
14,469.0,194.0,0.0,34.6
14,538.0,257.0,0.0,48.666666666666664
18,108.0,121.0,0.0,13.75
1,220.0,0.0,0.0,41.333333333333336
4,218.0,114.0,0.0,33.42857142857143
2,0.0,0.0,0.0,27.571428571428573
2,0.0,0.0,0.0,36.0
9,336.0,114.0,0.0,55.166666666666664
18,228.0,58.0,0.0,20.0
23,359.0,27.0,0.0,36.333333333333336
46,432.0,0.0,723.0,48.0
17,0.0,49.0,0.0,36.0
2,0.0,0.0,0.0,22.6
16,0.0,0.0,479.0,30.666666666666668
13,628.0,78.0,0.0,14.0
19,0.0,154.0,0.0,49.0
44,499.0,0.0,0.0,38.0
9,0.0,0.0,0.0,16.25
10,380.0,89.0,0.0,38.0
18,164.0,133.0,0.0,59.0
4,573.0,111.0,0.0,27.0
26,0.0,0.0,0.0,41.0
22,90.0,145.0,0.0,41.5
4,243.0,222.0,0.0,46.5
14,558.0,167.0,0.0,70.42857142857143
4,0.0,0.0,0.0,26.333333333333332
12,0.0,0.0,0.0,16.0
20,0.0,80.0,0.0,43.0
44,623.0,0.0,126.0,25.333333333333332
8,508.0,99.0,0.0,39.0
29,606.0,162.0,0.0,8.5
14,582.0,184.0,0.0,50.714285714285715
41,0.0,0.0,0.0,55.5
46,464.0,0.0,623.0,19.333333333333332
1,0.0,0.0,0.0,53.166666666666664
10,398.0,95.0,0.0,66.0
17,0.0,0.0,0.0,26.0
5,459.0,109.0,0.0,33.857142857142854
4,0.0,0.0,0.0,31.0
0,0.0,0.0,0.0,51.333333333333336
2,398.0,86.0,0.0,49.285714285714285
11,0.0,0.0,0.0,33.25
7,0.0,0.0,0.0,16.0
7,0.0,0.0,0.0,23.0
45,571.0,0.0,0.0,38.5
25,0.0,0.0,0.0,31.0
18,211.0,48.0,0.0,55.75
25,680.0,0.0,0.0,42.0
6,0.0,0.0,0.0,18.666666666666668
0,0.0,0.0,0.0,37.75
23,0.0,0.0,0.0,38.5
45,371.0,0.0,216.0,42.0
44,0.0,0.0,0.0,71.0
8,467.0,157.0,0.0,17.2
3,672.0,188.0,0.0,41.857142857142854
46,265.0,0.0,274.0,7.166666666666667
4,0.0,108.0,0.0,53.57142857142857
15,0.0,0.0,0.0,17.25
13,0.0,0.0,0.0,20.0
12,0.0,0.0,0.0,53.0
24,308.0,60.0,0.0,14.666666666666666
8,0.0,0.0,0.0,44.0
27,0.0,0.0,0.0,46.6
11,0.0,0.0,0.0,35.5
24,0.0,0.0,0.0,34.4
46,0.0,0.0,0.0,35.857142857142854
2,586.0,175.0,0.0,42.0
0,0.0,0.0,0.0,21.666666666666668
18,0.0,0.0,0.0,19.0
45,217.0,0.0,202.0,23.0
2,681.0,94.0,0.0,38.857142857142854
11,0.0,125.0,0.0,41.5
5,0.0,90.0,0.0,21.571428571428573
15,0.0,0.0,0.0,41.714285714285715
2,438.0,32.0,0.0,51.166666666666664
1,0.0,0.0,0.0,14.8
25,0.0,0.0,0.0,52.333333333333336
1,0.0,0.0,0.0,43.857142857142854
6,0.0,118.0,0.0,19.75
29,0.0,0.0,0.0,52.0
11,0.0,0.0,0.0,46.75
25,418.0,0.0,734.0,43.714285714285715
11,0.0,0.0,0.0,18.25
12,0.0,0.0,0.0,54.0
40,0.0,0.0,0.0,36.5
3,0.0,0.0,0.0,39.833333333333336
7,0.0,0.0,0.0,31.0
22,0.0,0.0,0.0,40.0
6,243.0,124.0,0.0,51.666666666666664
24,446.0,0.0,492.0,63.4
18,0.0,0.0,0.0,37.0
12,710.0,11.0,195.0,25.25
11,0.0,67.0,0.0,29.285714285714285
19,0.0,30.0,0.0,19.25
13,633.0,168.0,0.0,45.57142857142857
2,0.0,0.0,0.0,14.571428571428571
0,0.0,0.0,0.0,38.0
4,0.0,0.0,0.0,29.0
19,0.0,54.0,0.0,37.42857142857143
9,633.0,152.0,0.0,27.5
3,0.0,0.0,0.0,31.571428571428573
3,0.0,0.0,0.0,44.42857142857143
28,437.0,125.0,0.0,14.75
16,297.0,118.0,358.0,44.5
25,431.0,112.0,0.0,20.0
28,363.0,187.0,0.0,23.5
10,0.0,0.0,0.0,54.0
12,565.0,189.0,201.0,32.42857142857143
23,0.0,0.0,0.0,49.0
0,0.0,0.0,0.0,30.2
27,0.0,0.0,0.0,42.0
18,0.0,176.0,0.0,22.571428571428573
16,252.0,65.0,552.0,34.142857142857146
2,0.0,0.0,0.0,20.285714285714285
17,0.0,0.0,0.0,36.333333333333336
45,48.0,0.0,0.0,65.0
20,0.0,46.0,0.0,51.6
13,310.0,158.0,0.0,20.333333333333332
17,205.0,17.0,0.0,58.2
44,506.0,0.0,134.0,96.0
3,0.0,0.0,0.0,12.0
0,0.0,0.0,0.0,80.0
4,454.0,36.0,0.0,45.4
13,0.0,0.0,0.0,31.75
