week,Load: Practice,Load: S&C,Load: Competition,Sleep,Mood_delta
24,0.0,0.0,0.0,53.5,1.5
4,0.0,148.0,0.0,74.85714285714286,0.4285714285714164
10,260.0,97.0,0.0,41.166666666666664,-12.766666666666666
24,110.0,14.0,464.0,49.0,3.6000000000000014
4,0.0,0.0,0.0,97.0,0.0
24,319.0,15.0,346.0,68.14285714285714,2.19047619047619
9,244.0,144.0,0.0,53.2,-8.399999999999999
10,228.0,153.0,0.0,87.75,1.5
10,0.0,0.0,0.0,62.0,0.0
12,552.0,165.0,207.0,60.42857142857143,5.0
2,499.0,0.0,0.0,84.5,8.5
15,682.0,56.0,0.0,42.8,7.285714285714285
40,0.0,0.0,0.0,51.5,11.392857142857146
6,0.0,0.0,0.0,91.85714285714286,-6.285714285714278
5,0.0,0.0,0.0,51.666666666666664,-44.5
17,431.0,117.0,0.0,83.5,4.047619047619037
5,0.0,0.0,0.0,76.2,8.857142857142854
28,0.0,6.0,0.0,52.0,5.571428571428569
21,0.0,29.0,0.0,46.75,-6.857142857142861
3,480.0,10.0,0.0,62.0,-8.07142857142857
23,476.0,30.0,0.0,55.833333333333336,-2.0
5,0.0,0.0,0.0,78.8,2.0714285714285694
13,606.0,114.0,0.0,52.5,-13.166666666666664
8,507.0,89.0,0.0,50.0,6.714285714285715
15,600.0,72.0,0.0,75.33333333333333,-4.5
10,371.0,56.0,0.0,27.75,10.107142857142854
46,506.0,0.0,721.0,71.0,-0.3333333333333286
45,483.0,0.0,205.0,51.0,-9.607142857142854
1,0.0,0.0,0.0,59.0,-2.0
16,56.0,64.0,327.0,78.0,-1.5714285714285836
17,202.0,65.0,0.0,48.666666666666664,6.0
39,0.0,0.0,0.0,57.333333333333336,-2.5
14,469.0,194.0,0.0,65.4,4.799999999999997
14,538.0,257.0,0.0,51.333333333333336,-6.857142857142861
18,108.0,121.0,0.0,86.25,-4.166666666666671
1,220.0,0.0,0.0,58.666666666666664,7.000000000000007
4,218.0,114.0,0.0,66.57142857142857,4.142857142857146
2,0.0,0.0,0.0,72.42857142857143,-24.214285714285715
2,0.0,0.0,0.0,64.0,-12.261904761904766
9,336.0,114.0,0.0,44.833333333333336,8.57142857142857
18,228.0,58.0,0.0,80.0,-4.19047619047619
23,359.0,27.0,0.0,63.666666666666664,2.0
46,432.0,0.0,723.0,52.0,0.8571428571428612
