week,Load: Practice,Load: S&C,Load: Competition,Sleep,Motivation
24,0.0,0.0,0.0,53.5,65.0
4,0.0,148.0,0.0,74.85714285714286,74.42857142857143
10,260.0,97.0,0.0,41.166666666666664,31.833333333333332
24,110.0,14.0,464.0,49.0,56.2
4,0.0,0.0,0.0,97.0,100.0
29,0.0,80.0,0.0,57.0,66.0
24,319.0,15.0,346.0,68.14285714285714,76.71428571428571
9,244.0,144.0,0.0,53.2,68.0
10,228.0,153.0,0.0,87.75,72.5
34,279.0,0.0,228.0,78.0,82.0
10,0.0,0.0,0.0,62.0,100.0
0,0.0,68.0,0.0,67.16666666666667,59.5
12,552.0,165.0,207.0,60.42857142857143,51.285714285714285
2,499.0,0.0,0.0,84.5,86.0
44,874.0,0.0,257.0,70.0,64.0
15,682.0,56.0,0.0,42.8,39.2
14,251.0,199.0,0.0,50.333333333333336,48.0
40,0.0,0.0,0.0,51.5,33.714285714285715
6,0.0,0.0,0.0,91.85714285714286,84.85714285714286
0,0.0,0.0,0.0,49.0,62.0
5,0.0,0.0,0.0,51.666666666666664,40.0
17,431.0,117.0,0.0,83.5,87.66666666666667
5,0.0,0.0,0.0,76.2,64.42857142857143
28,0.0,6.0,0.0,52.0,28.142857142857142
21,0.0,29.0,0.0,46.75,26.714285714285715
3,480.0,10.0,0.0,62.0,43.142857142857146
23,476.0,30.0,0.0,55.833333333333336,60.0
5,0.0,0.0,0.0,78.8,71.0
46,0.0,0.0,0.0,90.0,92.33333333333333
13,606.0,114.0,0.0,52.5,48.833333333333336
8,507.0,89.0,0.0,50.0,39.42857142857143
15,600.0,72.0,0.0,75.33333333333333,86.66666666666667
10,371.0,56.0,0.0,27.75,27.25
46,506.0,0.0,721.0,71.0,46.0
45,483.0,0.0,205.0,51.0,32.5
1,0.0,0.0,0.0,59.0,83.0
16,56.0,64.0,327.0,78.0,96.85714285714286
17,202.0,65.0,0.0,48.666666666666664,42.57142857142857
39,0.0,0.0,0.0,57.333333333333336,63.0
14,469.0,194.0,0.0,65.4,60.2
14,538.0,257.0,0.0,51.333333333333336,29.857142857142858
18,108.0,121.0,0.0,86.25,89.0
1,220.0,0.0,0.0,58.666666666666664,70.16666666666667
4,218.0,114.0,0.0,66.57142857142857,47.42857142857143
2,0.0,0.0,0.0,72.42857142857143,60.57142857142857
2,0.0,0.0,0.0,64.0,49.666666666666664
9,336.0,114.0,0.0,44.833333333333336,39.857142857142854
18,228.0,58.0,0.0,80.0,80.71428571428571
23,359.0,27.0,0.0,63.666666666666664,49.0
46,432.0,0.0,723.0,52.0,49.57142857142857
17,0.0,49.0,0.0,64.0,30.666666666666668
2,0.0,0.0,0.0,77.4,67.0
16,0.0,0.0,479.0,69.33333333333333,61.0
13,628.0,78.0,0.0,86.0,91.5
19,0.0,154.0,0.0,51.0,25.571428571428573
44,499.0,0.0,0.0,62.0,74.0
9,0.0,0.0,0.0,83.75,70.42857142857143
10,380.0,89.0,0.0,62.0,54.0
18,164.0,133.0,0.0,41.0,67.0
4,573.0,111.0,0.0,73.0,94.0
26,0.0,0.0,0.0,59.0,42.0
22,90.0,145.0,0.0,58.5,92.0
4,243.0,222.0,0.0,53.5,69.5
14,558.0,167.0,0.0,29.571428571428573,39.0
4,0.0,0.0,0.0,73.66666666666667,99.0
12,0.0,0.0,0.0,84.0,73.28571428571429
20,0.0,80.0,0.0,57.0,54.714285714285715
