week,Load: Practice,Load: S&C,Load: Competition,Sleep,Stress
24,0.0,0.0,0.0,53.5,62.0
4,0.0,148.0,0.0,74.85714285714286,0.0
10,260.0,97.0,0.0,41.166666666666664,44.333333333333336
24,110.0,14.0,464.0,49.0,17.6
4,0.0,0.0,0.0,97.0,5.0
29,0.0,80.0,0.0,57.0,54.0
24,319.0,15.0,346.0,68.14285714285714,28.285714285714285
9,244.0,144.0,0.0,53.2,45.8
10,228.0,153.0,0.0,87.75,0.0
34,279.0,0.0,228.0,78.0,32.0
10,0.0,0.0,0.0,62.0,14.0
0,0.0,68.0,0.0,67.16666666666667,58.333333333333336
12,552.0,165.0,207.0,60.42857142857143,16.714285714285715
2,499.0,0.0,0.0,84.5,5.0
44,874.0,0.0,257.0,70.0,17.0
15,682.0,56.0,0.0,42.8,17.4
14,251.0,199.0,0.0,50.333333333333336,2.3333333333333335
40,0.0,0.0,0.0,51.5,52.42857142857143
6,0.0,0.0,0.0,91.85714285714286,0.0
0,0.0,0.0,0.0,49.0,18.0
5,0.0,0.0,0.0,51.666666666666664,60.0
17,431.0,117.0,0.0,83.5,18.0
5,0.0,0.0,0.0,76.2,24.428571428571427
28,0.0,6.0,0.0,52.0,0.0
21,0.0,29.0,0.0,46.75,60.285714285714285
3,480.0,10.0,0.0,62.0,3.857142857142857
23,476.0,30.0,0.0,55.833333333333336,36.0
5,0.0,0.0,0.0,78.8,26.142857142857142
46,0.0,0.0,0.0,90.0,11.0
13,606.0,114.0,0.0,52.5,25.5
8,507.0,89.0,0.0,50.0,43.142857142857146
15,600.0,72.0,0.0,75.33333333333333,11.666666666666666
10,371.0,56.0,0.0,27.75,25.25
46,506.0,0.0,721.0,71.0,35.0
45,483.0,0.0,205.0,51.0,50.25
1,0.0,0.0,0.0,59.0,57.0
16,56.0,64.0,327.0,78.0,0.0
17,202.0,65.0,0.0,48.666666666666664,20.0
39,0.0,0.0,0.0,57.333333333333336,30.333333333333332
14,469.0,194.0,0.0,65.4,34.2
14,538.0,257.0,0.0,51.333333333333336,31.857142857142858
18,108.0,121.0,0.0,86.25,0.0
1,220.0,0.0,0.0,58.666666666666664,36.166666666666664
4,218.0,114.0,0.0,66.57142857142857,8.571428571428571
2,0.0,0.0,0.0,72.42857142857143,31.285714285714285
2,0.0,0.0,0.0,64.0,28.5
9,336.0,114.0,0.0,44.833333333333336,36.285714285714285
18,228.0,58.0,0.0,80.0,16.714285714285715
23,359.0,27.0,0.0,63.666666666666664,27.0
46,432.0,0.0,723.0,52.0,24.857142857142858
17,0.0,49.0,0.0,64.0,24.833333333333332
2,0.0,0.0,0.0,77.4,25.571428571428573
16,0.0,0.0,479.0,69.33333333333333,13.833333333333334
13,628.0,78.0,0.0,86.0,9.0
19,0.0,154.0,0.0,51.0,51.142857142857146
44,499.0,0.0,0.0,62.0,34.0
9,0.0,0.0,0.0,83.75,15.714285714285714
10,380.0,89.0,0.0,62.0,22.166666666666668
18,164.0,133.0,0.0,41.0,28.6
4,573.0,111.0,0.0,73.0,6.666666666666667
26,0.0,0.0,0.0,59.0,39.0
22,90.0,145.0,0.0,58.5,27.75
4,243.0,222.0,0.0,53.5,41.166666666666664
14,558.0,167.0,0.0,29.571428571428573,38.285714285714285
4,0.0,0.0,0.0,73.66666666666667,40.166666666666664
12,0.0,0.0,0.0,84.0,20.428571428571427
20,0.0,80.0,0.0,57.0,37.57142857142857
44,623.0,0.0,126.0,74.66666666666667,29.666666666666668
8,508.0,99.0,0.0,61.0,33.142857142857146
29,606.0,162.0,0.0,91.5,9.5
14,582.0,184.0,0.0,49.285714285714285,28.428571428571427
41,0.0,0.0,0.0,44.5,41.5
46,464.0,0.0,623.0,80.66666666666667,17.666666666666668
1,0.0,0.0,0.0,46.833333333333336,52.0
10,398.0,95.0,0.0,34.0,54.857142857142854
17,0.0,0.0,0.0,74.0,7.0
5,459.0,109.0,0.0,66.14285714285714,2.4285714285714284
4,0.0,0.0,0.0,69.0,77.0
0,0.0,0.0,0.0,48.666666666666664,53.333333333333336
2,398.0,86.0,0.0,50.714285714285715,54.57142857142857
11,0.0,0.0,0.0,66.75,35.25
7,0.0,0.0,0.0,84.0,19.285714285714285
7,0.0,0.0,0.0,77.0,13.0
45,571.0,0.0,0.0,61.5,31.5
25,0.0,0.0,0.0,69.0,0.0
18,211.0,48.0,0.0,44.25,39.857142857142854
25,680.0,0.0,0.0,58.0,44.0
6,0.0,0.0,0.0,81.33333333333333,50.0
0,0.0,0.0,0.0,62.25,21.0
23,0.0,0.0,0.0,61.5,0.0
45,371.0,0.0,216.0,58.0,7.0
44,0.0,0.0,0.0,29.0,0.0
