week,Load: Practice,Load: S&C,Load: Competition,Distance,High Speed Distance,Sprints,Sleep,Soreness
24,0.0,0.0,0.0,0.0,0.0,0.0,53.5,39.0
4,0.0,148.0,0.0,5355.3,0.0,0.0,74.85714285714286,18.714285714285715
10,260.0,97.0,0.0,10256.6,530.8,22.0,41.166666666666664,53.333333333333336
24,110.0,14.0,464.0,19395.0,1492.1999999999998,55.0,49.0,10.8
4,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0
29,0.0,80.0,0.0,0.0,0.0,0.0,57.0,13.0
24,319.0,15.0,346.0,34353.9,3084.9,84.0,68.14285714285714,43.857142857142854
9,244.0,144.0,0.0,10578.3,29.0,10.0,53.2,41.4
10,228.0,153.0,0.0,14579.0,1690.1000000000001,66.0,87.75,32.5
34,279.0,0.0,228.0,40988.8,4023.5,106.0,78.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,62.0,3.0
0,0.0,68.0,0.0,4431.4,0.0,0.0,67.16666666666667,49.5
12,552.0,165.0,207.0,35719.3,3279.1,88.0,60.42857142857143,32.57142857142857
2,499.0,0.0,0.0,14345.7,3246.1000000000004,36.0,84.5,26.5
44,874.0,0.0,257.0,50777.0,0.0,180.0,70.0,13.0
15,682.0,56.0,0.0,27166.5,2452.4,91.0,42.8,50.0
14,251.0,199.0,0.0,17657.5,2094.2,23.0,50.333333333333336,49.666666666666664
40,0.0,0.0,0.0,0.0,0.0,0.0,51.5,46.42857142857143
6,0.0,0.0,0.0,0.0,0.0,0.0,91.85714285714286,3.142857142857143
0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,50.0
5,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666664,44.0
17,431.0,117.0,0.0,21805.9,6168.799999999999,157.0,83.5,34.0
5,0.0,0.0,0.0,0.0,0.0,0.0,76.2,57.142857142857146
28,0.0,6.0,0.0,13723.8,0.0,0.0,52.0,4.0
21,0.0,29.0,0.0,3721.4,0.0,0.0,46.75,33.57142857142857
3,480.0,10.0,0.0,15339.2,662.5,29.0,62.0,55.42857142857143
23,476.0,30.0,0.0,25052.1,2980.3,83.0,55.833333333333336,43.5
5,0.0,0.0,0.0,0.0,0.0,0.0,78.8,29.857142857142858
46,0.0,0.0,0.0,0.0,0.0,0.0,90.0,21.0
13,606.0,114.0,0.0,24274.6,3564.0,78.0,52.5,51.5
8,507.0,89.0,0.0,15520.2,887.3,24.0,50.0,40.57142857142857
15,600.0,72.0,0.0,27564.6,4657.0,175.0,75.33333333333333,46.666666666666664
10,371.0,56.0,0.0,10958.400000000001,770.7,36.0,27.75,39.0
46,506.0,0.0,721.0,106166.0,0.0,350.0,71.0,35.0
45,483.0,0.0,205.0,34045.0,0.0,93.0,51.0,52.0
1,0.0,0.0,0.0,0.0,0.0,0.0,59.0,21.0
16,56.0,64.0,327.0,24195.4,2902.5,59.0,78.0,23.0
17,202.0,65.0,0.0,16002.3,558.7,18.0,48.666666666666664,13.571428571428571
39,0.0,0.0,0.0,0.0,0.0,0.0,57.333333333333336,64.33333333333333
14,469.0,194.0,0.0,25812.5,4059.9,152.0,65.4,29.0
14,538.0,257.0,0.0,26301.5,4861.6,127.0,51.333333333333336,44.285714285714285
18,108.0,121.0,0.0,8783.5,368.2,14.0,86.25,8.25
1,220.0,0.0,0.0,17419.7,2224.1,36.0,58.666666666666664,54.666666666666664
4,218.0,114.0,0.0,32526.7,598.6,12.0,66.57142857142857,3.0
2,0.0,0.0,0.0,0.0,0.0,0.0,72.42857142857143,51.714285714285715
2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,14.0
9,336.0,114.0,0.0,16178.099999999999,412.4,44.0,44.833333333333336,43.714285714285715
18,228.0,58.0,0.0,9052.8,806.8,21.0,80.0,27.0
23,359.0,27.0,0.0,17317.399999999998,2070.4,43.0,63.666666666666664,37.0
46,432.0,0.0,723.0,83845.0,0.0,275.0,52.0,11.428571428571429
17,0.0,49.0,0.0,0.0,0.0,0.0,64.0,33.833333333333336
2,0.0,0.0,0.0,0.0,0.0,0.0,77.4,41.142857142857146
16,0.0,0.0,479.0,15649.0,2758.7,75.0,69.33333333333333,28.0
13,628.0,78.0,0.0,29587.600000000002,3293.1000000000004,85.0,86.0,37.0
19,0.0,154.0,0.0,5905.1,0.0,0.0,51.0,46.285714285714285
44,499.0,0.0,0.0,22898.0,0.0,86.0,62.0,39.0
9,0.0,0.0,0.0,0.0,0.0,0.0,83.75,22.571428571428573
10,380.0,89.0,0.0,21853.3,5693.2,144.0,62.0,69.16666666666667
18,164.0,133.0,0.0,6250.7,0.0,5.0,41.0,44.6
4,573.0,111.0,0.0,15042.0,1275.3000000000002,67.0,73.0,35.666666666666664
26,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0
22,90.0,145.0,0.0,17323.0,3.1,3.0,58.5,53.5
4,243.0,222.0,0.0,15003.3,71.3,7.0,53.5,48.833333333333336
14,558.0,167.0,0.0,23038.7,2316.2,78.0,29.571428571428573,41.714285714285715
4,0.0,0.0,0.0,0.0,0.0,0.0,73.66666666666667,3.3333333333333335
12,0.0,0.0,0.0,0.0,0.0,0.0,84.0,26.428571428571427
20,0.0,80.0,0.0,10116.7,0.0,0.0,57.0,1.7142857142857142
44,623.0,0.0,126.0,17470.0,0.0,26.0,74.66666666666667,26.666666666666668
8,508.0,99.0,0.0,19357.0,1481.4,43.0,61.0,59.42857142857143
29,606.0,162.0,0.0,27469.6,4112.7,152.0,91.5,32.5
14,582.0,184.0,0.0,40090.8,3698.0,68.0,49.285714285714285,25.0
41,0.0,0.0,0.0,0.0,0.0,0.0,44.5,51.833333333333336
46,464.0,0.0,623.0,73255.0,0.0,347.0,80.66666666666667,27.666666666666668
1,0.0,0.0,0.0,0.0,0.0,0.0,46.833333333333336,34.0
10,398.0,95.0,0.0,11805.1,1083.8000000000002,26.0,34.0,38.57142857142857
17,0.0,0.0,0.0,0.0,0.0,0.0,74.0,15.0
5,459.0,109.0,0.0,16750.2,711.0,43.0,66.14285714285714,11.0
4,0.0,0.0,0.0,0.0,0.0,0.0,69.0,84.0
