week,Load: Practice,Load: S&C,Load: Competition,Sleep,Fatigue
24,0.0,0.0,0.0,53.5,39.0
4,0.0,148.0,0.0,74.85714285714286,16.714285714285715
10,260.0,97.0,0.0,41.166666666666664,58.333333333333336
24,110.0,14.0,464.0,49.0,7.2
4,0.0,0.0,0.0,97.0,12.0
29,0.0,80.0,0.0,57.0,18.0
24,319.0,15.0,346.0,68.14285714285714,39.857142857142854
9,244.0,144.0,0.0,53.2,51.0
10,228.0,153.0,0.0,87.75,31.75
34,279.0,0.0,228.0,78.0,22.0
10,0.0,0.0,0.0,62.0,4.0
0,0.0,68.0,0.0,67.16666666666667,58.5
12,552.0,165.0,207.0,60.42857142857143,28.571428571428573
2,499.0,0.0,0.0,84.5,16.0
44,874.0,0.0,257.0,70.0,11.0
15,682.0,56.0,0.0,42.8,46.2
14,251.0,199.0,0.0,50.333333333333336,28.666666666666668
40,0.0,0.0,0.0,51.5,45.0
6,0.0,0.0,0.0,91.85714285714286,20.857142857142858
0,0.0,0.0,0.0,49.0,0.0
5,0.0,0.0,0.0,51.666666666666664,54.666666666666664
17,431.0,117.0,0.0,83.5,19.666666666666668
5,0.0,0.0,0.0,76.2,39.142857142857146
28,0.0,6.0,0.0,52.0,32.857142857142854
21,0.0,29.0,0.0,46.75,45.57142857142857
3,480.0,10.0,0.0,62.0,33.42857142857143
23,476.0,30.0,0.0,55.833333333333336,51.5
5,0.0,0.0,0.0,78.8,25.142857142857142
46,0.0,0.0,0.0,90.0,31.666666666666668
13,606.0,114.0,0.0,52.5,53.833333333333336
8,507.0,89.0,0.0,50.0,44.42857142857143
15,600.0,72.0,0.0,75.33333333333333,36.333333333333336
10,371.0,56.0,0.0,27.75,48.5
46,506.0,0.0,721.0,71.0,37.0
45,483.0,0.0,205.0,51.0,35.0
1,0.0,0.0,0.0,59.0,30.0
16,56.0,64.0,327.0,78.0,22.428571428571427
17,202.0,65.0,0.0,48.666666666666664,16.857142857142858
39,0.0,0.0,0.0,57.333333333333336,50.333333333333336
14,469.0,194.0,0.0,65.4,31.4
14,538.0,257.0,0.0,51.333333333333336,36.57142857142857
18,108.0,121.0,0.0,86.25,3.5
1,220.0,0.0,0.0,58.666666666666664,58.666666666666664
4,218.0,114.0,0.0,66.57142857142857,23.428571428571427
2,0.0,0.0,0.0,72.42857142857143,46.142857142857146
2,0.0,0.0,0.0,64.0,45.666666666666664
9,336.0,114.0,0.0,44.833333333333336,42.0
18,228.0,58.0,0.0,80.0,18.714285714285715
23,359.0,27.0,0.0,63.666666666666664,27.0
46,432.0,0.0,723.0,52.0,13.285714285714286
17,0.0,49.0,0.0,64.0,50.666666666666664
2,0.0,0.0,0.0,77.4,41.857142857142854
16,0.0,0.0,479.0,69.33333333333333,38.333333333333336
13,628.0,78.0,0.0,86.0,29.5
19,0.0,154.0,0.0,51.0,45.42857142857143
44,499.0,0.0,0.0,62.0,51.5
9,0.0,0.0,0.0,83.75,26.0
10,380.0,89.0,0.0,62.0,66.33333333333333
18,164.0,133.0,0.0,41.0,46.2
4,573.0,111.0,0.0,73.0,29.666666666666668
26,0.0,0.0,0.0,59.0,15.0
22,90.0,145.0,0.0,58.5,15.25
4,243.0,222.0,0.0,53.5,44.166666666666664
14,558.0,167.0,0.0,29.571428571428573,43.285714285714285
4,0.0,0.0,0.0,73.66666666666667,11.666666666666666
12,0.0,0.0,0.0,84.0,24.428571428571427
20,0.0,80.0,0.0,57.0,26.571428571428573
44,623.0,0.0,126.0,74.66666666666667,23.0
8,508.0,99.0,0.0,61.0,58.714285714285715
29,606.0,162.0,0.0,91.5,8.5
14,582.0,184.0,0.0,49.285714285714285,32.142857142857146
41,0.0,0.0,0.0,44.5,44.166666666666664
46,464.0,0.0,623.0,80.66666666666667,23.666666666666668
1,0.0,0.0,0.0,46.833333333333336,33.5
10,398.0,95.0,0.0,34.0,40.285714285714285
17,0.0,0.0,0.0,74.0,31.0
5,459.0,109.0,0.0,66.14285714285714,18.428571428571427
4,0.0,0.0,0.0,69.0,42.0
0,0.0,0.0,0.0,48.666666666666664,33.666666666666664
2,398.0,86.0,0.0,50.714285714285715,51.285714285714285
11,0.0,0.0,0.0,66.75,39.75
7,0.0,0.0,0.0,84.0,24.285714285714285
7,0.0,0.0,0.0,77.0,31.5
45,571.0,0.0,0.0,61.5,41.0
25,0.0,0.0,0.0,69.0,20.0
18,211.0,48.0,0.0,44.25,52.857142857142854
25,680.0,0.0,0.0,58.0,21.0
6,0.0,0.0,0.0,81.33333333333333,53.0
0,0.0,0.0,0.0,62.25,60.0
23,0.0,0.0,0.0,61.5,16.25
45,371.0,0.0,216.0,58.0,23.0
44,0.0,0.0,0.0,29.0,53.0
8,467.0,157.0,0.0,82.8,27.166666666666668
3,672.0,188.0,0.0,58.142857142857146,72.57142857142857
46,265.0,0.0,274.0,92.83333333333333,3.0
4,0.0,108.0,0.0,46.42857142857143,36.42857142857143
15,0.0,0.0,0.0,82.75,27.0
13,0.0,0.0,0.0,80.0,17.0
12,0.0,0.0,0.0,47.0,52.0
24,308.0,60.0,0.0,85.33333333333333,15.714285714285714
8,0.0,0.0,0.0,56.0,45.75
27,0.0,0.0,0.0,53.4,38.0
11,0.0,0.0,0.0,64.5,20.5
24,0.0,0.0,0.0,65.6,37.166666666666664
46,0.0,0.0,0.0,64.14285714285714,33.42857142857143
2,586.0,175.0,0.0,58.0,15.571428571428571
0,0.0,0.0,0.0,78.33333333333333,43.333333333333336
18,0.0,0.0,0.0,81.0,21.0
45,217.0,0.0,202.0,77.0,13.0
2,681.0,94.0,0.0,61.142857142857146,59.142857142857146
11,0.0,125.0,0.0,58.5,41.714285714285715
5,0.0,90.0,0.0,78.42857142857143,6.142857142857143
15,0.0,0.0,0.0,58.285714285714285,54.142857142857146
2,438.0,32.0,0.0,48.833333333333336,51.333333333333336
1,0.0,0.0,0.0,85.2,41.8
25,0.0,0.0,0.0,47.666666666666664,32.333333333333336
1,0.0,0.0,0.0,56.142857142857146,25.571428571428573
6,0.0,118.0,0.0,80.25,19.75
29,0.0,0.0,0.0,48.0,37.6
11,0.0,0.0,0.0,53.25,55.42857142857143
25,418.0,0.0,734.0,56.285714285714285,17.428571428571427
11,0.0,0.0,0.0,81.75,17.142857142857142
12,0.0,0.0,0.0,46.0,57.0
40,0.0,0.0,0.0,63.5,67.0
3,0.0,0.0,0.0,60.166666666666664,46.857142857142854
7,0.0,0.0,0.0,69.0,22.166666666666668
22,0.0,0.0,0.0,60.0,27.0
6,243.0,124.0,0.0,48.333333333333336,60.5
24,446.0,0.0,492.0,36.6,50.714285714285715
18,0.0,0.0,0.0,63.0,53.0
12,710.0,11.0,195.0,74.75,45.5
11,0.0,67.0,0.0,70.71428571428571,16.142857142857142
19,0.0,30.0,0.0,80.75,25.5
13,633.0,168.0,0.0,54.42857142857143,31.0
2,0.0,0.0,0.0,85.42857142857143,15.857142857142858
0,0.0,0.0,0.0,62.0,17.0
4,0.0,0.0,0.0,71.0,19.0
19,0.0,54.0,0.0,62.57142857142857,45.714285714285715
9,633.0,152.0,0.0,72.5,22.285714285714285
3,0.0,0.0,0.0,68.42857142857143,34.142857142857146
3,0.0,0.0,0.0,55.57142857142857,52.285714285714285
28,437.0,125.0,0.0,85.25,15.285714285714286
16,297.0,118.0,358.0,55.5,54.5
25,431.0,112.0,0.0,80.0,20.333333333333332
28,363.0,187.0,0.0,76.5,20.5
10,0.0,0.0,0.0,46.0,41.0
12,565.0,189.0,201.0,67.57142857142857,16.285714285714285
23,0.0,0.0,0.0,51.0,30.5
0,0.0,0.0,0.0,69.8,52.285714285714285
27,0.0,0.0,0.0,58.0,29.75
18,0.0,176.0,0.0,77.42857142857143,11.571428571428571
16,252.0,65.0,552.0,65.85714285714286,58.857142857142854
2,0.0,0.0,0.0,79.71428571428571,18.285714285714285
17,0.0,0.0,0.0,63.666666666666664,33.285714285714285
45,48.0,0.0,0.0,35.0,51.0
20,0.0,46.0,0.0,48.4,54.4
13,310.0,158.0,0.0,79.66666666666667,0.0
17,205.0,17.0,0.0,41.8,67.0
44,506.0,0.0,134.0,4.0,50.0
3,0.0,0.0,0.0,88.0,31.5
0,0.0,0.0,0.0,20.0,60.0
4,454.0,36.0,0.0,54.6,26.2
13,0.0,0.0,0.0,68.25,56.75
25,0.0,0.0,0.0,100.0,48.0
45,418.0,0.0,499.0,49.285714285714285,23.0
44,671.0,0.0,214.0,38.0,59.857142857142854
2,895.0,0.0,0.0,70.75,26.5
7,163.0,184.0,0.0,61.0,42.333333333333336
9,0.0,0.0,0.0,46.25,41.0
4,0.0,0.0,0.0,82.0,24.75
14,608.0,84.0,0.0,86.83333333333333,32.5
44,633.0,0.0,197.0,57.0,30.666666666666668
31,384.0,67.0,0.0,45.333333333333336,41.666666666666664
7,0.0,0.0,0.0,65.75,46.57142857142857
31,0.0,70.0,0.0,54.0,27.0
19,0.0,133.0,0.0,55.666666666666664,20.0
45,474.0,0.0,412.0,65.0,42.0
9,650.0,163.0,0.0,47.0,36.285714285714285
9,0.0,0.0,0.0,67.0,50.0
8,154.0,79.0,0.0,89.0,3.25
28,280.0,86.0,0.0,36.0,60.42857142857143
46,361.0,0.0,510.0,73.5,13.5
13,332.0,23.0,0.0,31.333333333333332,51.0
5,0.0,0.0,0.0,59.5,51.5
3,0.0,0.0,0.0,82.5,36.833333333333336
4,0.0,0.0,0.0,80.0,48.0
4,540.0,67.0,0.0,47.285714285714285,38.42857142857143
23,721.0,0.0,0.0,44.75,52.142857142857146
11,76.0,0.0,0.0,53.0,32.0
10,0.0,0.0,0.0,52.285714285714285,52.714285714285715
19,0.0,196.0,0.0,73.14285714285714,30.714285714285715
16,275.0,0.0,627.0,54.333333333333336,43.333333333333336
5,300.0,55.0,0.0,46.666666666666664,35.666666666666664
1,0.0,0.0,0.0,60.4,22.2
5,0.0,0.0,0.0,49.25,42.5
5,197.0,123.0,0.0,54.0,35.0
46,365.0,0.0,213.0,62.0,38.5
25,0.0,0.0,0.0,36.166666666666664,44.42857142857143
2,647.0,55.0,0.0,62.285714285714285,38.57142857142857
6,233.0,0.0,0.0,81.5,31.0
15,615.0,265.0,0.0,68.66666666666667,19.285714285714285
2,0.0,61.0,0.0,77.0,53.0
12,0.0,0.0,0.0,73.33333333333333,11.666666666666666
8,0.0,0.0,0.0,48.0,0.0
25,0.0,0.0,0.0,59.714285714285715,32.142857142857146
13,266.0,167.0,0.0,51.0,30.333333333333332
23,313.0,176.0,0.0,81.85714285714286,18.428571428571427
1,0.0,0.0,0.0,59.0,37.25
9,577.0,109.0,0.0,60.57142857142857,54.42857142857143
24,250.0,120.0,0.0,50.2,37.8
5,391.0,109.0,0.0,43.8,50.285714285714285
27,0.0,238.0,0.0,52.666666666666664,39.0
1,0.0,0.0,0.0,67.5,54.5
9,0.0,0.0,0.0,60.666666666666664,50.142857142857146
10,0.0,0.0,0.0,52.6,51.0
1,0.0,0.0,0.0,58.75,49.75
13,0.0,0.0,0.0,74.66666666666667,19.333333333333332
14,307.0,0.0,0.0,58.0,16.0
15,658.0,141.0,0.0,52.333333333333336,36.285714285714285
46,544.0,0.0,561.0,53.0,35.0
30,285.0,137.0,208.0,82.5,15.0
13,207.0,212.0,0.0,69.0,25.0
16,0.0,0.0,0.0,64.6,53.714285714285715
12,392.0,118.0,206.0,42.714285714285715,46.142857142857146
23,312.0,0.0,0.0,45.5,48.0
15,331.0,162.0,0.0,50.6,41.8
45,205.0,0.0,155.0,74.0,15.0
13,0.0,0.0,0.0,43.5,47.5
16,0.0,0.0,0.0,86.0,11.0
0,0.0,0.0,0.0,49.857142857142854,27.0
18,128.0,114.0,0.0,51.42857142857143,50.42857142857143
16,0.0,0.0,0.0,47.0,62.0
25,311.0,119.0,0.0,70.66666666666667,5.333333333333333
22,0.0,24.0,0.0,52.5,53.5
0,0.0,0.0,0.0,74.0,33.333333333333336
42,405.0,171.0,0.0,32.0,46.4
5,492.0,0.0,0.0,72.33333333333333,35.666666666666664
45,359.0,0.0,481.0,82.66666666666667,39.666666666666664
15,0.0,16.0,0.0,79.28571428571429,8.142857142857142
1,302.0,0.0,0.0,58.5,48.0
2,0.0,0.0,0.0,37.333333333333336,59.833333333333336
3,0.0,53.0,0.0,80.28571428571429,20.0
3,0.0,0.0,0.0,79.8,38.285714285714285
16,0.0,0.0,0.0,58.8,34.2
8,0.0,0.0,0.0,82.33333333333333,19.2
18,0.0,0.0,0.0,47.5,43.0
5,0.0,0.0,0.0,83.0,11.0
1,0.0,0.0,0.0,81.42857142857143,13.142857142857142
8,0.0,0.0,0.0,42.2,39.0
17,0.0,0.0,0.0,82.0,52.0
29,0.0,41.0,0.0,53.0,25.0
24,380.0,0.0,0.0,42.833333333333336,54.166666666666664
0,0.0,0.0,0.0,32.5,55.5
10,0.0,0.0,0.0,83.4,22.0
14,279.0,136.0,0.0,68.75,24.25
7,181.0,216.0,0.0,72.0,26.166666666666668
0,0.0,0.0,0.0,86.85714285714286,11.285714285714286
23,0.0,0.0,0.0,67.0,59.5
5,455.0,110.0,0.0,65.28571428571429,40.285714285714285
7,0.0,0.0,0.0,44.6,31.2
19,0.0,81.0,0.0,75.0,21.0
15,0.0,0.0,0.0,70.4,60.0
8,0.0,0.0,0.0,61.0,19.0
15,0.0,0.0,0.0,48.25,42.25
13,366.0,138.0,0.0,51.333333333333336,40.857142857142854
15,575.0,173.0,0.0,67.75,33.0
16,56.0,17.0,135.0,52.5,61.0
22,644.0,31.0,0.0,51.0,40.57142857142857
9,464.0,103.0,0.0,77.0,16.0
6,0.0,0.0,0.0,41.833333333333336,24.5
10,0.0,0.0,0.0,69.5,55.0
22,494.0,100.0,0.0,66.66666666666667,41.833333333333336
16,178.0,83.0,302.0,85.42857142857143,2.0
8,0.0,0.0,0.0,78.66666666666667,37.142857142857146
3,0.0,0.0,0.0,89.0,15.0
23,283.0,197.0,0.0,60.0,45.714285714285715
3,0.0,99.0,0.0,48.6,40.6
2,0.0,128.0,0.0,48.0,42.857142857142854
2,0.0,0.0,0.0,58.6,42.8
9,517.0,45.0,0.0,28.142857142857142,51.142857142857146
18,0.0,75.0,0.0,59.5,30.428571428571427
21,0.0,12.0,0.0,27.0,65.0
5,0.0,0.0,0.0,69.33333333333333,69.0
39,0.0,0.0,0.0,36.0,56.75
5,372.0,170.0,0.0,82.0,21.0
16,261.0,81.0,596.0,94.0,16.0
6,286.0,113.0,0.0,46.2,37.714285714285715
0,0.0,0.0,0.0,72.28571428571429,2.5714285714285716
1,0.0,0.0,0.0,80.0,47.5
16,0.0,0.0,0.0,61.0,69.0
26,0.0,0.0,0.0,45.5,34.0
9,631.0,97.0,0.0,63.0,27.8
12,0.0,0.0,0.0,53.0,55.0
3,0.0,0.0,0.0,63.166666666666664,41.833333333333336
1,382.0,0.0,0.0,51.666666666666664,52.0
9,0.0,0.0,0.0,19.0,78.0
1,0.0,0.0,0.0,80.0,38.142857142857146
44,329.0,0.0,0.0,52.0,28.666666666666668
3,290.0,224.0,0.0,45.5,46.0
12,474.0,214.0,203.0,62.5,53.5
4,211.0,200.0,0.0,61.0,42.0
4,0.0,0.0,0.0,57.4,47.42857142857143
47,87.0,0.0,0.0,56.0,0.0
14,0.0,0.0,0.0,74.71428571428571,47.285714285714285
8,541.0,83.0,0.0,69.5,14.142857142857142
13,486.0,271.0,0.0,72.28571428571429,29.142857142857142
0,0.0,0.0,0.0,64.0,31.0
11,0.0,0.0,0.0,74.75,25.75
2,0.0,0.0,0.0,34.0,69.0
22,110.0,104.0,0.0,33.75,31.714285714285715
15,359.0,100.0,0.0,59.0,32.0
0,0.0,0.0,0.0,66.14285714285714,33.0
17,184.0,46.0,0.0,91.0,0.0
0,0.0,55.0,0.0,74.0,23.8
7,328.0,149.0,0.0,72.42857142857143,15.285714285714286
16,205.0,12.0,0.0,87.5,21.857142857142858
16,238.0,112.0,457.0,48.857142857142854,34.0
8,327.0,275.0,0.0,58.25,46.0
12,0.0,0.0,0.0,59.166666666666664,46.857142857142854
1,318.0,0.0,0.0,49.25,43.25
47,0.0,0.0,0.0,51.666666666666664,38.4
7,389.0,274.0,0.0,71.33333333333333,29.5
29,153.0,0.0,0.0,51.0,44.666666666666664
35,982.0,0.0,0.0,66.0,65.0
17,0.0,0.0,0.0,58.0,15.5
17,353.0,175.0,0.0,77.85714285714286,21.428571428571427
30,0.0,0.0,0.0,52.0,28.0
0,0.0,0.0,0.0,53.0,51.0
13,0.0,0.0,0.0,95.33333333333333,41.666666666666664
7,0.0,0.0,0.0,61.0,56.0
28,0.0,0.0,0.0,58.0,47.8
8,0.0,0.0,0.0,79.0,76.0
1,233.0,22.0,0.0,48.0,56.142857142857146
24,447.0,15.0,0.0,76.66666666666667,25.833333333333332
3,417.0,102.0,0.0,58.57142857142857,29.285714285714285
22,0.0,0.0,0.0,42.0,46.0
24,0.0,0.0,0.0,60.0,19.0
14,0.0,0.0,0.0,81.66666666666667,19.857142857142858
45,275.0,0.0,128.0,83.0,3.4
45,358.0,0.0,407.0,53.4,38.2
15,0.0,0.0,0.0,66.0,60.0
27,0.0,0.0,0.0,60.333333333333336,31.5
30,0.0,47.0,0.0,60.0,48.0
26,0.0,92.0,0.0,66.33333333333333,19.333333333333332
12,466.0,127.0,219.0,47.5,49.142857142857146
1,0.0,0.0,0.0,69.0,3.142857142857143
7,370.0,107.0,0.0,45.333333333333336,47.166666666666664
1,0.0,0.0,0.0,64.85714285714286,30.571428571428573
25,0.0,0.0,0.0,55.5,47.5
