week,Load: Practice,Load: S&C,Load: Competition,Sleep,Fatigue_delta
24,0.0,0.0,0.0,53.5,-20.5
4,0.0,148.0,0.0,74.85714285714286,-3.2857142857142847
10,260.0,97.0,0.0,41.166666666666664,7.333333333333336
24,110.0,14.0,464.0,49.0,-19.8
4,0.0,0.0,0.0,97.0,-3.0
24,319.0,15.0,346.0,68.14285714285714,-11.642857142857146
9,244.0,144.0,0.0,53.2,5.0
10,228.0,153.0,0.0,87.75,31.75
10,0.0,0.0,0.0,62.0,-10.5
12,552.0,165.0,207.0,60.42857142857143,9.714285714285715
2,499.0,0.0,0.0,84.5,2.0
15,682.0,56.0,0.0,42.8,2.914285714285718
40,0.0,0.0,0.0,51.5,-11.75
6,0.0,0.0,0.0,91.85714285714286,13.285714285714286
5,0.0,0.0,0.0,51.666666666666664,22.166666666666664
17,431.0,117.0,0.0,83.5,-2.19047619047619
5,0.0,0.0,0.0,76.2,-8.285714285714285
28,0.0,6.0,0.0,52.0,1.357142857142854
21,0.0,29.0,0.0,46.75,16.428571428571427
3,480.0,10.0,0.0,62.0,-17.904761904761905
23,476.0,30.0,0.0,55.833333333333336,9.666666666666664
5,0.0,0.0,0.0,78.8,0.39285714285714235
13,606.0,114.0,0.0,52.5,0.3333333333333357
8,507.0,89.0,0.0,50.0,-12.57142857142857
15,600.0,72.0,0.0,75.33333333333333,3.8333333333333357
10,371.0,56.0,0.0,27.75,-2.642857142857146
46,506.0,0.0,721.0,71.0,-6.666666666666664
45,483.0,0.0,205.0,51.0,-24.857142857142854
1,0.0,0.0,0.0,59.0,-2.0
16,56.0,64.0,327.0,78.0,14.285714285714285
17,202.0,65.0,0.0,48.666666666666664,-17.142857142857142
39,0.0,0.0,0.0,57.333333333333336,6.333333333333336
14,469.0,194.0,0.0,65.4,6.399999999999999
14,538.0,257.0,0.0,51.333333333333336,-4.285714285714285
18,108.0,121.0,0.0,86.25,3.5
1,220.0,0.0,0.0,58.666666666666664,0.1666666666666643
4,218.0,114.0,0.0,66.57142857142857,-5.857142857142858
2,0.0,0.0,0.0,72.42857142857143,8.80952380952381
2,0.0,0.0,0.0,64.0,15.095238095238091
9,336.0,114.0,0.0,44.833333333333336,-2.4285714285714306
18,228.0,58.0,0.0,80.0,-0.9523809523809526
23,359.0,27.0,0.0,63.666666666666664,14.0
46,432.0,0.0,723.0,52.0,-9.714285714285714
17,0.0,49.0,0.0,64.0,-8.19047619047619
2,0.0,0.0,0.0,77.4,3.714285714285708
