week,Load: Practice,Load: S&C,Load: Competition,Sleep,Mood
24,0.0,0.0,0.0,53.5,51.5
4,0.0,148.0,0.0,74.85714285714286,86.71428571428571
10,260.0,97.0,0.0,41.166666666666664,35.833333333333336
24,110.0,14.0,464.0,49.0,55.6
4,0.0,0.0,0.0,97.0,100.0
29,0.0,80.0,0.0,57.0,46.0
24,319.0,15.0,346.0,68.14285714285714,69.85714285714286
9,244.0,144.0,0.0,53.2,48.6
10,228.0,153.0,0.0,87.75,89.5
34,279.0,0.0,228.0,78.0,50.0
10,0.0,0.0,0.0,62.0,100.0
0,0.0,68.0,0.0,67.16666666666667,61.666666666666664
12,552.0,165.0,207.0,60.42857142857143,55.714285714285715
2,499.0,0.0,0.0,84.5,91.0
44,874.0,0.0,257.0,70.0,69.0
15,682.0,56.0,0.0,42.8,56.0
14,251.0,199.0,0.0,50.333333333333336,62.333333333333336
40,0.0,0.0,0.0,51.5,50.142857142857146
6,0.0,0.0,0.0,91.85714285714286,86.28571428571429
0,0.0,0.0,0.0,49.0,50.0
5,0.0,0.0,0.0,51.666666666666664,47.0
17,431.0,117.0,0.0,83.5,90.33333333333333
5,0.0,0.0,0.0,76.2,67.57142857142857
28,0.0,6.0,0.0,52.0,53.57142857142857
21,0.0,29.0,0.0,46.75,41.285714285714285
3,480.0,10.0,0.0,62.0,65.42857142857143
23,476.0,30.0,0.0,55.833333333333336,67.66666666666667
5,0.0,0.0,0.0,78.8,78.57142857142857
46,0.0,0.0,0.0,90.0,86.33333333333333
13,606.0,114.0,0.0,52.5,53.333333333333336
8,507.0,89.0,0.0,50.0,44.0
15,600.0,72.0,0.0,75.33333333333333,77.66666666666667
10,371.0,56.0,0.0,27.75,47.25
46,506.0,0.0,721.0,71.0,65.0
45,483.0,0.0,205.0,51.0,32.25
1,0.0,0.0,0.0,59.0,60.0
16,56.0,64.0,327.0,78.0,80.71428571428571
17,202.0,65.0,0.0,48.666666666666664,56.57142857142857
39,0.0,0.0,0.0,57.333333333333336,59.0
14,469.0,194.0,0.0,65.4,69.8
14,538.0,257.0,0.0,51.333333333333336,42.285714285714285
18,108.0,121.0,0.0,86.25,86.5
1,220.0,0.0,0.0,58.666666666666664,68.66666666666667
4,218.0,114.0,0.0,66.57142857142857,56.714285714285715
2,0.0,0.0,0.0,72.42857142857143,61.285714285714285
2,0.0,0.0,0.0,64.0,46.166666666666664
9,336.0,114.0,0.0,44.833333333333336,52.57142857142857
18,228.0,58.0,0.0,80.0,86.14285714285714
23,359.0,27.0,0.0,63.666666666666664,52.0
46,432.0,0.0,723.0,52.0,62.142857142857146
17,0.0,49.0,0.0,64.0,64.0
2,0.0,0.0,0.0,77.4,73.42857142857143
16,0.0,0.0,479.0,69.33333333333333,62.666666666666664
13,628.0,78.0,0.0,86.0,83.5
19,0.0,154.0,0.0,51.0,52.42857142857143
44,499.0,0.0,0.0,62.0,62.5
9,0.0,0.0,0.0,83.75,82.28571428571429
10,380.0,89.0,0.0,62.0,64.5
18,164.0,133.0,0.0,41.0,34.8
4,573.0,111.0,0.0,73.0,81.66666666666667
26,0.0,0.0,0.0,59.0,73.0
22,90.0,145.0,0.0,58.5,64.25
4,243.0,222.0,0.0,53.5,58.166666666666664
14,558.0,167.0,0.0,29.571428571428573,48.714285714285715
4,0.0,0.0,0.0,73.66666666666667,75.16666666666667
12,0.0,0.0,0.0,84.0,83.0
20,0.0,80.0,0.0,57.0,48.857142857142854
44,623.0,0.0,126.0,74.66666666666667,71.66666666666667
8,508.0,99.0,0.0,61.0,62.714285714285715
29,606.0,162.0,0.0,91.5,91.0
14,582.0,184.0,0.0,49.285714285714285,49.857142857142854
41,0.0,0.0,0.0,44.5,48.333333333333336
46,464.0,0.0,623.0,80.66666666666667,83.0
1,0.0,0.0,0.0,46.833333333333336,49.5
10,398.0,95.0,0.0,34.0,50.714285714285715
17,0.0,0.0,0.0,74.0,71.0
5,459.0,109.0,0.0,66.14285714285714,72.14285714285714
4,0.0,0.0,0.0,69.0,48.0
0,0.0,0.0,0.0,48.666666666666664,40.666666666666664
2,398.0,86.0,0.0,50.714285714285715,50.57142857142857
11,0.0,0.0,0.0,66.75,67.75
7,0.0,0.0,0.0,84.0,81.0
7,0.0,0.0,0.0,77.0,60.5
45,571.0,0.0,0.0,61.5,67.33333333333333
25,0.0,0.0,0.0,69.0,87.0
18,211.0,48.0,0.0,44.25,44.285714285714285
25,680.0,0.0,0.0,58.0,62.0
6,0.0,0.0,0.0,81.33333333333333,67.33333333333333
0,0.0,0.0,0.0,62.25,58.0
23,0.0,0.0,0.0,61.5,96.0
45,371.0,0.0,216.0,58.0,41.0
44,0.0,0.0,0.0,29.0,44.0
