week,Load: Practice,Load: S&C,Load: Competition,Sleep,Motivation_delta
24,0.0,0.0,0.0,53.5,1.0
4,0.0,148.0,0.0,74.85714285714286,-2.857142857142861
10,260.0,97.0,0.0,41.166666666666664,-36.16666666666667
24,110.0,14.0,464.0,49.0,7.200000000000003
4,0.0,0.0,0.0,97.0,0.0
24,319.0,15.0,346.0,68.14285714285714,16.714285714285708
9,244.0,144.0,0.0,53.2,-7.200000000000003
10,228.0,153.0,0.0,87.75,-10.166666666666671
10,0.0,0.0,0.0,62.0,0.0
12,552.0,165.0,207.0,60.42857142857143,12.857142857142854
2,499.0,0.0,0.0,84.5,6.5
15,682.0,56.0,0.0,42.8,0.20000000000000284
40,0.0,0.0,0.0,51.5,12.214285714285715
6,0.0,0.0,0.0,91.85714285714286,-9.0
5,0.0,0.0,0.0,51.666666666666664,-46.0
17,431.0,117.0,0.0,83.5,8.666666666666671
5,0.0,0.0,0.0,76.2,18.0
28,0.0,6.0,0.0,52.0,-5.857142857142858
21,0.0,29.0,0.0,46.75,-8.142857142857139
3,480.0,10.0,0.0,62.0,-28.857142857142854
23,476.0,30.0,0.0,55.833333333333336,8.166666666666664
5,0.0,0.0,0.0,78.8,-8.25
13,606.0,114.0,0.0,52.5,-13.0
8,507.0,89.0,0.0,50.0,10.714285714285715
15,600.0,72.0,0.0,75.33333333333333,-2.5
10,371.0,56.0,0.0,27.75,4.964285714285715
46,506.0,0.0,721.0,71.0,-22.0
45,483.0,0.0,205.0,51.0,-6.214285714285715
1,0.0,0.0,0.0,59.0,11.0
16,56.0,64.0,327.0,78.0,10.0
17,202.0,65.0,0.0,48.666666666666664,-11.571428571428577
39,0.0,0.0,0.0,57.333333333333336,21.0
14,469.0,194.0,0.0,65.4,32.2
14,538.0,257.0,0.0,51.333333333333336,2.8571428571428577
18,108.0,121.0,0.0,86.25,-4.333333333333329
1,220.0,0.0,0.0,58.666666666666664,10.666666666666671
4,218.0,114.0,0.0,66.57142857142857,1.4285714285714306
2,0.0,0.0,0.0,72.42857142857143,-24.42857142857143
2,0.0,0.0,0.0,64.0,-2.047619047619051
9,336.0,114.0,0.0,44.833333333333336,0.4285714285714235
18,228.0,58.0,0.0,80.0,-6.952380952380963
23,359.0,27.0,0.0,63.666666666666664,-8.0
46,432.0,0.0,723.0,52.0,-12.42857142857143
17,0.0,49.0,0.0,64.0,-39.76190476190476
2,0.0,0.0,0.0,77.4,-0.7142857142857082
16,0.0,0.0,479.0,69.33333333333333,-25.66666666666667
13,628.0,78.0,0.0,86.0,9.25
19,0.0,154.0,0.0,51.0,3.571428571428573
9,0.0,0.0,0.0,83.75,-4.714285714285708
10,380.0,89.0,0.0,62.0,-6.285714285714285
18,164.0,133.0,0.0,41.0,-6.75
4,573.0,111.0,0.0,73.0,5.799999999999997
26,0.0,0.0,0.0,59.0,-49.16666666666667
4,243.0,222.0,0.0,53.5,3.3333333333333286
14,558.0,167.0,0.0,29.571428571428573,14.333333333333332
4,0.0,0.0,0.0,73.66666666666667,15.666666666666671
12,0.0,0.0,0.0,84.0,-4.714285714285708
20,0.0,80.0,0.0,57.0,-9.999999999999993
8,508.0,99.0,0.0,61.0,-3.7142857142857153
29,606.0,162.0,0.0,91.5,6.5
14,582.0,184.0,0.0,49.285714285714285,-2.857142857142861
41,0.0,0.0,0.0,44.5,9.952380952380949
46,464.0,0.0,623.0,80.66666666666667,17.83333333333333
1,0.0,0.0,0.0,46.833333333333336,-7.166666666666671
10,398.0,95.0,0.0,34.0,4.428571428571431
17,0.0,0.0,0.0,74.0,-11.0
5,459.0,109.0,0.0,66.14285714285714,21.285714285714278
4,0.0,0.0,0.0,69.0,-21.85714285714286
2,398.0,86.0,0.0,50.714285714285715,8.666666666666664
11,0.0,0.0,0.0,66.75,-3.0
7,0.0,0.0,0.0,84.0,-3.4285714285714306
45,571.0,0.0,0.0,61.5,-9.5
25,0.0,0.0,0.0,69.0,0.0
18,211.0,48.0,0.0,44.25,-0.14285714285714235
6,0.0,0.0,0.0,81.33333333333333,3.8333333333333357
23,0.0,0.0,0.0,61.5,0.0
